x_coordinate,y_coordinate,time_interval_seconds
570,446,0.0323
570,445,0.0174
568,440,0.0157
561,427,0.0172
550,412,0.0176
538,395,0.0171
526,378,0.0164
496,339,0.0172
446,284,0.0165
405,245,0.0178
371,213,0.0155
361,194,0.0167
359,189,0.0167
359,186,0.0162
358,185,0.0176
357,184,0.0152
357,182,0.0174
356,181,0.017
354,177,0.0171
352,172,0.016
347,165,0.0167
342,160,0.0168
338,155,0.0165
334,151,0.0169
333,149,0.0175
332,147,0.0153
331,146,0.017
331,144,0.0165
330,144,0.017
330,143,0.0332
330,142,0.0166
