x_coordinate,y_coordinate,time_interval_seconds
574,127,0.0
576,127,0.0152
577,127,0.0158
578,127,0.0168
580,127,0.0162
581,127,0.0167
583,127,0.0159
587,130,0.016
592,136,0.0162
596,147,0.0158
604,170,0.0173
621,211,0.0172
633,240,0.0168
647,274,0.0157
661,315,0.017
670,353,0.0156
696,442,0.0165
727,489,0.0157
754,522,0.0164
770,541,0.0164
783,556,0.0169
795,577,0.0171
801,587,0.0161
804,593,0.0173
804,595,0.0163
804,596,0.0168
805,600,0.0169
807,605,0.018
808,607,0.0147
808,611,0.0171
808,615,0.0163
808,621,0.0166
808,630,0.0169
807,641,0.0174
805,649,0.0159
805,655,0.0161
805,657,0.017
806,657,0.0163
806,658,0.0162
807,659,0.0184
809,661,0.0162
810,662,0.0168
811,663,0.033
812,665,0.0171
813,666,0.0159
814,666,0.0319
815,667,0.035
817,669,0.0163
819,670,0.0171
