x_coordinate,y_coordinate,time_interval_seconds
574,144,0.0
575,144,0.0165
577,145,0.0165
579,145,0.017
582,146,0.017
591,147,0.0169
602,150,0.017
614,152,0.0175
628,156,0.0165
653,161,0.0161
720,178,0.0165
747,185,0.0162
770,190,0.0175
790,193,0.016
803,195,0.0165
807,195,0.0162
808,195,0.017
810,195,0.0163
814,197,0.0165
816,197,0.0175
817,197,0.0161
818,197,0.0158
820,197,0.016
823,195,0.016
826,194,0.0165
829,193,0.0165
831,193,0.016
832,193,0.0165
833,193,0.016
834,192,0.016
836,192,0.016
838,190,0.0165
841,189,0.0165
844,187,0.0161
844,186,0.0165
