x_coordinate,y_coordinate,time_interval_seconds
579,281,0.016
579,282,0.016
579,288,0.0165
580,294,0.0165
584,306,0.0165
591,320,0.0166
600,341,0.016
604,353,0.0167
610,376,0.016
615,390,0.017
620,406,0.016
623,416,0.0165
625,426,0.018
626,435,0.0165
627,439,0.0165
628,445,0.0165
631,449,0.0165
632,453,0.017
633,456,0.0165
634,461,0.0165
634,462,0.0175
634,463,0.015
634,464,0.0335
634,465,0.0332
635,465,0.0826
635,468,0.017
635,469,0.0176
635,471,0.016
635,474,0.0166
