x_coordinate,y_coordinate,time_interval_seconds
584,197,0.0149
586,197,0.0163
589,198,0.0163
589,204,0.0167
590,207,0.0156
590,211,0.0163
590,212,0.0331
591,214,0.0165
589,227,0.0165
585,238,0.0165
582,249,0.0177
580,254,0.0161
579,261,0.0177
576,269,0.0163
569,279,0.0165
560,292,0.0158
549,310,0.0159
541,332,0.0161
538,343,0.0169
538,344,0.0165
537,345,0.0168
536,347,0.0164
535,349,0.0169
534,349,0.0178
533,349,0.032
532,349,0.0159
531,351,0.0164
530,352,0.0169
529,352,0.0166
526,354,0.0173
516,359,0.0173
516,359,0.0
503,369,0.0157
494,378,0.0162
489,382,0.0168
486,386,0.0165
486,387,0.0174
487,386,0.0171
488,385,0.016
494,381,0.0217
