x_coordinate,y_coordinate,time_interval_seconds
579,471,0.0663
579,471,0.0
571,471,0.0166
555,472,0.016
532,476,0.0161
498,478,0.0166
458,480,0.0163
416,484,0.0173
393,485,0.0157
386,485,0.0172
384,485,0.0158
379,485,0.0169
355,489,0.0163
330,492,0.0163
312,494,0.0166
303,495,0.0163
300,495,0.0166
298,495,0.0166
295,492,0.016
294,491,0.0166
292,490,0.0163
289,489,0.0164
280,487,0.0172
274,487,0.0159
266,487,0.0168
260,486,0.0173
259,486,0.0168
259,485,0.0173
259,484,0.017
259,481,0.017
259,477,0.017
259,474,0.0173
256,468,0.017
252,461,0.0165
249,457,0.0168
248,457,0.0176
248,456,0.0156
246,456,0.0171
243,456,0.0161
240,456,0.0166
239,456,0.0484
237,457,0.016
235,459,0.0157
233,461,0.017
231,462,0.0168
231,463,0.0161
