x_coordinate,y_coordinate,time_interval_seconds
587,586,0.0338
601,586,0.0161
628,584,0.016
650,584,0.0163
685,584,0.0161
753,583,0.0161
792,581,0.0161
835,580,0.0168
861,578,0.0164
887,578,0.0175
887,578,0.0
903,578,0.0151
921,579,0.0178
936,580,0.0163
940,580,0.0169
941,580,0.018
941,581,0.033
943,581,0.0167
946,583,0.0182
949,584,0.0149
957,587,0.0163
965,589,0.0163
972,591,0.0165
980,591,0.0158
981,591,0.0164
982,591,0.0177
983,592,0.0159
985,594,0.0156
987,594,0.0337
989,594,0.017
1002,600,0.0168
1015,605,0.0171
1033,612,0.0166
1034,612,0.0165
1035,613,0.0323
1037,614,0.0164
1038,615,0.0161
1039,615,0.0317
1042,615,0.0166
1050,611,0.0159
1052,607,0.0166
1052,605,0.0167
1052,604,0.0514
