x_coordinate,y_coordinate,time_interval_seconds
585,568,0.0
585,568,0.0
586,563,0.015
589,559,0.0161
592,553,0.016
596,549,0.0164
597,547,0.0175
603,540,0.0167
616,524,0.017
635,501,0.0165
661,464,0.0166
678,438,0.0158
710,393,0.016
742,353,0.0165
772,312,0.0165
800,266,0.0159
818,241,0.0165
830,221,0.016
842,202,0.0159
846,186,0.0165
848,178,0.0166
851,170,0.0159
856,157,0.0165
864,138,0.017
871,121,0.0161
876,109,0.017
877,106,0.017
877,104,0.0168
879,99,0.0166
882,92,0.016
886,86,0.0164
888,79,0.0169
888,76,0.0166
889,70,0.0165
889,68,0.016
889,65,0.0168
893,52,0.016
894,46,0.0168
896,39,0.0175
896,38,0.016
896,40,0.05
