x_coordinate,y_coordinate,time_interval_seconds
587,121,0.0489
587,120,0.0325
586,124,0.0496
576,141,0.0156
543,214,0.0173
522,265,0.0161
486,333,0.0168
456,386,0.0162
421,449,0.0159
397,495,0.016
367,547,0.0176
353,573,0.0166
344,595,0.0162
338,608,0.0158
336,615,0.0153
330,628,0.0177
324,636,0.0167
319,642,0.0161
304,655,0.0164
286,666,0.0166
275,669,0.0163
274,669,0.0164
270,670,0.0181
269,672,0.0151
268,673,0.0166
266,676,0.0166
260,680,0.0162
255,683,0.0162
252,684,0.0175
250,684,0.0157
248,684,0.0172
246,684,0.0169
244,684,0.0168
242,683,0.0174
239,683,0.0168
237,683,0.0158
233,682,0.0167
231,681,0.0159
230,681,0.0164
228,681,0.0171
227,681,0.0163
