x_coordinate,y_coordinate,time_interval_seconds
589,742,0.0
588,740,0.0155
580,733,0.0168
567,722,0.017
554,714,0.0161
528,698,0.0161
477,667,0.0159
424,637,0.0164
312,574,0.0165
246,542,0.017
203,523,0.0167
183,514,0.0165
175,506,0.0171
175,506,0.0
172,502,0.0161
168,498,0.016
164,493,0.016
158,487,0.016
149,479,0.0166
134,469,0.0159
132,467,0.016
131,467,0.0168
130,467,0.0331
129,465,0.0171
126,465,0.016
123,463,0.0161
118,461,0.0162
111,457,0.016
98,451,0.017
90,448,0.0162
88,448,0.0175
87,448,0.0321
87,447,0.0328
85,447,0.0166
83,447,0.0176
81,448,0.0161
80,448,0.0171
78,448,0.0165
77,449,0.0161
75,449,0.0326
74,449,0.016
73,449,0.017
72,449,0.0176
71,449,0.016
70,449,0.0168
69,449,0.0321
