x_coordinate,y_coordinate,time_interval_seconds
58,66,0.0
62,64,0.0163
73,58,0.0174
83,54,0.0159
86,52,0.0164
91,50,0.0176
91,50,0.0
99,48,0.0146
115,47,0.0166
138,47,0.0163
175,47,0.0168
209,49,0.0161
261,55,0.0175
303,60,0.0177
356,70,0.0163
412,77,0.0175
431,79,0.0164
436,79,0.0169
439,79,0.0157
447,79,0.0165
464,82,0.0164
473,84,0.0163
478,84,0.016
481,85,0.0156
489,87,0.0164
497,89,0.0161
506,92,0.0168
513,93,0.0161
514,94,0.0329
517,98,0.0163
523,104,0.0169
527,110,0.0166
530,111,0.0162
531,112,0.0158
533,113,0.0162
536,113,0.016
540,114,0.0157
545,114,0.0156
551,115,0.0179
556,116,0.0158
562,116,0.017
565,116,0.0161
568,116,0.0181
570,116,0.0163
572,116,0.0175
573,116,0.0325
