x_coordinate,y_coordinate,time_interval_seconds
602,104,0.0165
600,106,0.0679
595,113,0.0171
586,125,0.017
570,142,0.016
531,185,0.0161
469,242,0.0166
382,307,0.0171
297,370,0.0159
213,436,0.017
157,484,0.0171
124,516,0.0164
93,551,0.016
76,568,0.016
72,575,0.0165
71,576,0.017
71,577,0.017
71,579,0.017
71,584,0.0169
71,586,0.017
69,595,0.0162
69,599,0.016
70,600,0.0165
72,601,0.0165
74,601,0.0165
78,603,0.017
79,603,0.017
80,603,0.0165
81,604,0.0492
82,607,0.0161
85,608,0.016
87,609,0.0165
