x_coordinate,y_coordinate,time_interval_seconds
610,575,0.0149
621,573,0.0172
627,572,0.0161
638,570,0.0169
649,566,0.0169
677,556,0.0168
704,551,0.0171
772,549,0.0161
854,547,0.0162
942,536,0.017
991,524,0.0168
994,521,0.0166
994,520,0.0167
992,518,0.016
992,514,0.0164
996,509,0.016
1000,507,0.0176
1009,499,0.0163
1013,497,0.0175
1022,489,0.0173
1027,485,0.0156
1030,482,0.0168
1032,482,0.0181
1037,480,0.0156
1042,479,0.0175
1044,477,0.0173
1045,477,0.0165
1047,477,0.0172
1049,477,0.0167
1051,477,0.0176
1052,477,0.0168
1053,477,0.016
1056,477,0.0489
