x_coordinate,y_coordinate,time_interval_seconds
607,270,0.0649
596,279,0.0162
575,292,0.0172
521,323,0.0171
488,347,0.0174
453,375,0.0169
428,396,0.0164
347,451,0.0163
304,479,0.0172
290,487,0.0167
286,491,0.0171
286,495,0.0169
285,499,0.0175
284,502,0.0171
284,504,0.0164
281,507,0.0152
274,514,0.0171
259,520,0.0164
246,525,0.0161
229,528,0.0162
225,529,0.0172
224,529,0.034
223,529,0.0163
220,529,0.017
219,529,0.0167
218,529,0.0167
216,529,0.0172
215,526,0.0161
214,519,0.0169
214,517,0.0167
