x_coordinate,y_coordinate,time_interval_seconds
610,348,0.0331
613,348,0.0175
616,348,0.0155
623,348,0.0169
642,346,0.0174
661,345,0.0165
674,345,0.0173
694,345,0.0167
719,345,0.0165
745,344,0.0168
761,342,0.0165
786,339,0.0179
804,338,0.0165
806,338,0.0166
807,338,0.0849
809,338,0.016
813,338,0.0165
813,338,0.0
814,338,0.0165
815,338,0.0165
817,338,0.017
818,338,0.016
821,337,0.0168
825,336,0.016
828,336,0.0161
830,336,0.0165
831,336,0.016
833,335,0.0503
836,335,0.0175
839,334,0.0163
842,333,0.017
843,333,0.0164
845,333,0.0165
846,333,0.0175
847,333,0.0334
848,333,0.0345
849,333,0.0327
