x_coordinate,y_coordinate,time_interval_seconds
614,454,0.034
618,456,0.0155
631,464,0.017
651,477,0.016
677,492,0.0159
718,514,0.017
802,557,0.017
860,590,0.0175
903,614,0.016
932,631,0.0167
984,665,0.0165
1026,691,0.016
1032,693,0.017
1031,693,0.0842
1029,692,0.0487
1028,692,0.016
1026,692,0.0169
1024,694,0.016
1023,694,0.0161
1019,693,0.0157
1016,691,0.0161
1012,691,0.0165
1007,689,0.0175
1003,687,0.0161
997,685,0.0165
997,685,0.0
992,685,0.0165
987,685,0.016
984,685,0.0171
981,685,0.0158
980,685,0.0328
979,685,0.0321
977,685,0.0165
975,685,0.0161
