x_coordinate,y_coordinate,time_interval_seconds
615,191,0.0
614,191,0.032
609,196,0.0161
599,206,0.0165
571,228,0.0165
554,242,0.0173
530,261,0.0165
495,289,0.0165
461,316,0.0165
391,372,0.016
363,391,0.0165
334,411,0.0165
315,425,0.0165
295,439,0.016
266,462,0.016
249,473,0.0165
235,482,0.0176
230,485,0.0159
225,487,0.0159
220,490,0.0165
204,501,0.017
198,505,0.0175
179,517,0.0165
143,537,0.0176
129,543,0.0165
120,548,0.0175
107,554,0.016
99,559,0.0165
97,560,0.017
95,560,0.049
94,561,0.0166
92,561,0.0165
90,561,0.0165
86,562,0.016
84,563,0.0163
81,563,0.0166
76,565,0.017
73,566,0.016
70,566,0.0168
69,566,0.017
