x_coordinate,y_coordinate,time_interval_seconds
618,576,0.0
616,577,0.0165
615,578,0.016
613,579,0.0165
611,580,0.0176
608,580,0.016
604,581,0.0166
598,583,0.0166
590,586,0.0164
565,593,0.017
515,609,0.0165
471,622,0.0155
434,636,0.017
409,648,0.0166
399,654,0.0161
397,655,0.0165
396,656,0.016
395,657,0.0166
396,657,0.0496
397,657,0.0167
398,656,0.0326
398,655,0.0159
397,655,0.0481
397,654,0.016
396,653,0.016
394,651,0.0153
392,649,0.017
391,647,0.0161
389,646,0.0164
