x_coordinate,y_coordinate,time_interval_seconds
62,123,0.017
65,125,0.017
68,125,0.017
77,133,0.0165
148,182,0.0165
197,212,0.016
309,281,0.016
428,355,0.0165
533,421,0.0158
644,482,0.0166
720,517,0.017
764,540,0.017
785,551,0.017
810,566,0.017
815,570,0.0166
815,571,0.0165
816,571,0.033
821,574,0.0175
823,577,0.0166
824,579,0.0165
819,580,0.0333
814,581,0.0168
808,581,0.0162
801,581,0.017
791,579,0.017
782,576,0.017
772,573,0.0165
762,570,0.0165
754,568,0.0164
746,567,0.0167
741,567,0.0158
737,566,0.0175
736,566,0.0331
735,566,0.0335
735,567,0.0166
734,567,0.0166
733,567,0.016
731,567,0.0161
729,568,0.0166
728,568,0.0155
725,568,0.016
723,569,0.0165
722,570,0.0166
721,570,0.0165
