x_coordinate,y_coordinate,time_interval_seconds
619,218,0.0151
616,218,0.0173
611,218,0.0166
595,218,0.0178
575,220,0.0152
544,222,0.017
495,228,0.0166
430,236,0.016
375,246,0.016
320,255,0.0167
290,262,0.016
263,269,0.0164
230,278,0.0169
209,285,0.0161
188,293,0.0165
157,304,0.016
144,308,0.0167
142,309,0.017
141,310,0.0169
141,311,0.017
139,312,0.018
137,315,0.0171
135,317,0.016
131,320,0.0175
130,320,0.0326
127,322,0.0176
126,323,0.016
124,324,0.0166
123,325,0.0164
