x_coordinate,y_coordinate,time_interval_seconds
627,105,0.049
628,105,0.0169
629,106,0.0165
631,107,0.0157
632,108,0.0322
634,112,0.0164
638,118,0.0173
645,126,0.017
654,135,0.0162
666,149,0.0167
690,177,0.0162
706,197,0.0178
722,219,0.0173
745,248,0.0164
765,273,0.0165
788,307,0.016
804,328,0.0164
816,343,0.0166
825,356,0.0162
834,367,0.017
838,372,0.0165
840,374,0.0164
844,378,0.017
847,381,0.0161
854,392,0.0168
859,398,0.016
861,402,0.0164
864,404,0.0153
865,406,0.0175
870,415,0.0168
877,423,0.0164
881,429,0.0168
882,431,0.0166
884,432,0.0164
885,433,0.0173
886,433,0.0168
886,434,0.016
887,435,0.0162
887,436,0.0168
890,436,0.016
890,437,0.016
890,438,0.0169
891,438,0.0489
892,438,0.0172
892,439,0.0165
893,439,0.0168
895,441,0.0332
896,443,0.0168
897,445,0.0171
899,446,0.0173
900,446,0.0171
901,446,0.0324
