x_coordinate,y_coordinate,time_interval_seconds
626,593,0.0
626,592,0.0155
626,590,0.0166
624,587,0.017
622,583,0.0166
612,570,0.0175
600,558,0.016
576,537,0.0162
547,511,0.0165
522,484,0.0184
458,421,0.0188
422,385,0.0131
402,363,0.0156
393,350,0.0174
390,346,0.0164
390,344,0.0328
389,341,0.0155
387,334,0.0165
381,321,0.0169
374,310,0.0165
356,292,0.0172
344,279,0.0173
337,272,0.0167
333,268,0.0157
332,267,0.0166
331,265,0.0329
330,262,0.0161
330,259,0.0167
330,257,0.0161
330,255,0.016
330,253,0.0165
330,250,0.0174
330,249,0.0164
330,248,0.0162
331,247,0.0176
