x_coordinate,y_coordinate,time_interval_seconds
627,624,0.0
625,624,0.0161
614,624,0.0166
599,626,0.017
583,629,0.0161
567,633,0.0167
550,637,0.0172
503,637,0.017
466,638,0.0167
422,641,0.0165
391,644,0.0161
353,646,0.0162
329,647,0.0167
313,647,0.0175
299,648,0.0157
292,649,0.0161
286,649,0.0163
278,649,0.0164
276,649,0.0164
274,649,0.0167
271,649,0.0163
267,647,0.0164
259,645,0.0169
254,644,0.0177
252,644,0.015
251,644,0.0169
248,644,0.0163
241,644,0.0156
234,644,0.0168
232,644,0.0175
231,644,0.0161
