x_coordinate,y_coordinate,time_interval_seconds
634,476,0.0848
649,485,0.017
661,493,0.0161
674,500,0.0165
684,507,0.0161
711,520,0.0167
711,520,0.0
731,528,0.0167
745,535,0.0162
750,538,0.0166
753,540,0.0162
759,546,0.0167
762,549,0.0172
767,552,0.0168
773,558,0.0168
779,563,0.0154
789,568,0.0175
793,569,0.0167
795,571,0.0159
797,571,0.0164
798,572,0.0162
802,574,0.0165
802,575,0.1163
799,577,0.0169
795,578,0.0177
795,579,0.0155
793,581,0.0159
793,582,0.0159
793,583,0.0167
