x_coordinate,y_coordinate,time_interval_seconds
635,133,0.016
635,134,0.0169
634,135,0.016
631,140,0.0164
629,146,0.0162
626,160,0.0159
624,169,0.0162
622,177,0.0157
618,195,0.0167
611,236,0.0156
595,291,0.0161
571,354,0.016
533,449,0.0159
520,482,0.0167
511,511,0.0169
509,529,0.0164
506,547,0.0167
501,573,0.0165
498,584,0.0169
494,594,0.0166
490,599,0.0167
486,602,0.0169
483,606,0.0161
479,609,0.0168
478,610,0.0169
474,611,0.0169
464,622,0.0166
452,637,0.0165
441,651,0.0164
437,657,0.0175
436,657,0.017
434,657,0.0669
434,659,0.016
432,661,0.0164
431,664,0.0162
425,668,0.0166
416,675,0.0169
414,676,0.0162
413,676,0.0155
411,675,0.0337
411,673,0.0169
410,670,0.0188
