x_coordinate,y_coordinate,time_interval_seconds
634,509,0.016
634,508,0.017
632,507,0.0165
630,500,0.0156
626,491,0.0174
623,485,0.0156
617,473,0.0165
611,462,0.0167
605,446,0.0156
583,395,0.0188
553,345,0.0165
522,289,0.0151
490,239,0.0163
462,187,0.0161
462,187,0.0
448,166,0.0171
439,151,0.0166
431,139,0.0163
429,137,0.0166
427,134,0.0169
426,132,0.0336
426,131,0.017
424,129,0.0167
424,128,0.0164
424,126,0.0165
424,119,0.0159
424,111,0.0165
424,100,0.0181
425,88,0.0177
425,82,0.0164
425,72,0.0167
425,70,0.0168
