x_coordinate,y_coordinate,time_interval_seconds
647,572,0.0484
652,567,0.0162
661,559,0.0172
668,550,0.0161
686,529,0.0163
720,483,0.016
761,441,0.0162
806,407,0.0161
840,383,0.0153
892,347,0.0179
947,308,0.0164
957,301,0.0172
964,298,0.0163
966,297,0.0169
970,296,0.0172
976,295,0.0169
980,292,0.0169
990,288,0.0165
997,284,0.0174
998,283,0.0156
999,283,0.0323
1000,283,0.0167
1002,283,0.0164
1004,284,0.0168
1005,286,0.0166
1005,294,0.0163
1005,307,0.0167
1005,324,0.0165
1006,329,0.0163
1004,327,0.0506
1002,326,0.0169
