x_coordinate,y_coordinate,time_interval_seconds
645,634,0.016
645,632,0.0155
645,631,0.016
645,630,0.0159
644,629,0.0317
643,628,0.0163
640,626,0.0166
627,619,0.0173
598,607,0.0169
573,598,0.017
534,583,0.017
498,570,0.017
479,560,0.0165
462,551,0.016
455,549,0.016
452,548,0.016
448,547,0.017
445,545,0.016
437,542,0.016
427,540,0.0165
413,535,0.0165
395,530,0.0169
377,526,0.0165
369,525,0.0165
364,525,0.0168
363,525,0.0165
359,525,0.017
357,523,0.0165
356,523,0.0165
356,522,0.0334
