x_coordinate,y_coordinate,time_interval_seconds
644,79,0.0308
640,88,0.0166
635,95,0.0169
626,110,0.0163
614,138,0.0166
592,193,0.0166
570,244,0.0159
544,311,0.0179
507,386,0.0164
460,501,0.0174
443,551,0.0162
434,583,0.0165
431,605,0.0172
431,634,0.0162
431,646,0.0161
431,669,0.0164
431,685,0.0168
431,694,0.0162
432,701,0.0179
434,703,0.0176
434,704,0.017
436,704,0.0319
438,704,0.016
443,703,0.0162
447,699,0.0162
449,695,0.016
453,689,0.0165
458,680,0.0162
462,669,0.016
463,664,0.0154
465,661,0.0165
466,656,0.016
468,653,0.0164
468,651,0.0156
468,649,0.0163
469,649,0.0655
