x_coordinate,y_coordinate,time_interval_seconds
654,164,0.0502
656,164,0.0835
661,165,0.0165
674,169,0.0165
696,179,0.0165
758,203,0.0158
809,222,0.0177
840,233,0.0165
863,242,0.0165
892,254,0.0177
905,260,0.0158
911,263,0.0165
914,266,0.0168
919,271,0.0172
919,271,0.0
924,274,0.0159
931,279,0.0158
939,284,0.0162
949,291,0.016
961,296,0.0165
970,300,0.0166
978,302,0.0175
983,304,0.0158
986,304,0.0162
990,305,0.017
996,306,0.0164
997,306,0.0657
996,305,0.0669
996,304,0.0167
996,303,0.018
