x_coordinate,y_coordinate,time_interval_seconds
655,490,0.0165
653,490,0.0827
648,490,0.016
635,490,0.0161
612,490,0.0162
584,490,0.0166
541,490,0.0163
476,490,0.0165
457,490,0.017
441,488,0.0176
431,487,0.0163
420,486,0.016
414,487,0.0173
405,488,0.016
392,490,0.016
371,494,0.0163
330,499,0.0171
299,504,0.0165
258,508,0.0165
207,512,0.0176
187,516,0.016
180,517,0.0167
179,517,0.0995
178,517,0.0651
176,519,0.0161
172,521,0.016
169,523,0.0165
162,524,0.016
155,527,0.017
