x_coordinate,y_coordinate,time_interval_seconds
660,591,0.0151
662,593,0.0172
663,594,0.0157
664,594,0.0177
659,594,0.0336
651,591,0.016
642,589,0.0168
632,588,0.0175
618,587,0.0157
583,583,0.0179
515,572,0.0158
436,557,0.017
396,548,0.0183
371,540,0.016
354,532,0.0158
332,519,0.0165
308,509,0.0167
264,496,0.0162
222,487,0.0161
192,479,0.0178
189,479,0.016
188,478,0.0164
187,478,0.0504
187,479,0.0163
187,480,0.0166
186,480,0.0176
186,481,0.0155
185,482,0.0159
185,483,0.0325
184,484,0.0163
181,487,0.0177
178,491,0.0172
177,492,0.0167
175,492,0.0162
174,493,0.0159
173,493,0.0178
172,493,0.0151
172,494,0.0178
171,494,0.0342
