x_coordinate,y_coordinate,time_interval_seconds
663,488,0.031
660,488,0.0167
644,488,0.017
621,489,0.0164
595,495,0.0159
554,502,0.0162
513,511,0.0158
490,517,0.0164
447,525,0.0166
420,531,0.0163
401,537,0.016
383,545,0.0158
369,550,0.0167
350,557,0.0177
334,561,0.0158
313,568,0.0167
308,569,0.0171
306,570,0.0161
301,571,0.0164
294,572,0.0178
284,574,0.0158
276,576,0.0174
267,578,0.016
259,580,0.0156
248,581,0.0173
242,582,0.0182
240,582,0.0162
239,582,0.1356
238,582,0.0149
237,582,0.0165
236,582,0.0183
