x_coordinate,y_coordinate,time_interval_seconds
667,425,0.0
665,423,0.0163
664,420,0.0165
663,418,0.0176
663,415,0.0159
663,410,0.016
663,406,0.0164
663,401,0.0165
663,397,0.0165
663,393,0.0166
663,379,0.0161
658,355,0.0165
653,322,0.017
646,294,0.017
642,273,0.0168
637,251,0.0166
634,244,0.016
633,239,0.0165
632,235,0.0165
631,229,0.016
629,219,0.0158
625,206,0.0171
621,194,0.0163
619,184,0.0165
613,167,0.0175
610,153,0.016
608,149,0.0165
608,147,0.0175
607,146,0.0161
606,146,0.0169
606,145,0.0325
606,143,0.017
606,142,0.0166
607,141,0.0843
608,139,0.0165
609,137,0.0163
609,135,0.017
609,134,0.0175
