x_coordinate,y_coordinate,time_interval_seconds
673,515,0.0
673,516,0.0315
676,516,0.0159
683,518,0.0172
697,520,0.016
730,528,0.0172
747,532,0.0156
766,536,0.0163
797,541,0.0175
827,547,0.0162
879,557,0.0171
907,558,0.0157
932,558,0.0173
942,558,0.0157
947,558,0.0173
950,559,0.0164
952,559,0.0178
955,560,0.0161
958,560,0.0157
959,560,0.016
960,561,0.0161
961,561,0.0505
962,561,0.0324
963,562,0.0163
963,563,0.0159
964,566,0.0166
965,566,0.0164
967,566,0.0335
968,567,0.0173
970,568,0.0161
972,569,0.0167
983,575,0.0173
986,575,0.0155
988,576,0.0171
