x_coordinate,y_coordinate,time_interval_seconds
677,191,0.0524
672,204,0.0167
665,225,0.0168
658,254,0.016
649,290,0.0165
637,325,0.0165
631,344,0.0165
619,379,0.0157
609,409,0.016
601,433,0.0158
587,463,0.0162
581,475,0.0159
575,488,0.0167
567,504,0.0176
561,517,0.016
536,544,0.0163
536,544,0.0
521,555,0.017
511,564,0.0177
511,573,0.0159
511,584,0.016
512,589,0.0169
512,590,0.0171
512,589,0.0165
512,587,0.0162
510,586,0.0181
510,585,0.0157
509,584,0.0156
508,583,0.0163
508,581,0.0165
509,578,0.0171
510,576,0.0164
510,575,0.0166
511,575,0.0181
