x_coordinate,y_coordinate,time_interval_seconds
683,148,0.0479
680,151,0.016
677,155,0.016
675,157,0.017
672,159,0.0166
666,164,0.0173
659,170,0.016
652,175,0.016
644,183,0.016
634,190,0.017
619,201,0.0165
606,209,0.0174
589,220,0.016
576,228,0.0162
558,238,0.0159
534,251,0.016
518,260,0.0165
504,266,0.0169
486,273,0.0161
469,280,0.0165
460,283,0.016
455,285,0.0161
453,286,0.0161
451,288,0.016
450,290,0.0165
447,292,0.0166
443,296,0.0165
440,300,0.0165
438,302,0.017
437,306,0.0165
434,309,0.0166
430,313,0.0175
429,316,0.0167
427,318,0.016
425,319,0.0165
421,321,0.017
421,321,0.0
418,322,0.0161
417,322,0.0321
