x_coordinate,y_coordinate,time_interval_seconds
692,52,0.0
691,52,0.0166
690,52,0.0166
689,53,0.0166
688,54,0.0165
686,61,0.0165
684,68,0.0169
680,79,0.0176
673,96,0.016
661,140,0.0161
645,203,0.017
632,251,0.0161
622,289,0.016
616,318,0.0166
610,346,0.0165
604,373,0.0161
598,393,0.0165
594,408,0.0165
591,424,0.016
588,439,0.017
586,444,0.0175
586,446,0.0165
585,446,0.0175
585,448,0.0168
583,458,0.0166
582,466,0.0165
580,472,0.0164
578,477,0.016
577,480,0.016
571,487,0.016
568,493,0.0171
562,502,0.0171
561,506,0.017
559,512,0.0167
558,512,0.0663
556,513,0.017
555,513,0.0165
556,511,0.0331
557,510,0.017
