x_coordinate,y_coordinate,time_interval_seconds
706,432,0.0163
705,430,0.017
702,429,0.0165
697,426,0.0171
678,413,0.0165
646,399,0.0165
584,377,0.016
523,355,0.0166
463,331,0.0176
432,313,0.0165
408,300,0.016
388,291,0.0161
371,285,0.016
351,279,0.0167
335,276,0.017
330,275,0.0173
330,274,0.0325
329,271,0.032
327,269,0.016
326,267,0.016
319,260,0.0165
308,250,0.0161
298,241,0.0168
282,226,0.0165
271,216,0.016
262,207,0.016
261,206,0.0166
260,205,0.0504
259,205,0.016
258,205,0.0811
257,205,0.0175
