x_coordinate,y_coordinate,time_interval_seconds
716,513,0.0164
716,514,0.0168
714,514,0.0167
698,518,0.018
674,525,0.0166
640,535,0.0157
600,544,0.0164
547,553,0.0159
463,573,0.0163
417,590,0.0164
365,618,0.0173
317,642,0.0158
277,659,0.016
248,669,0.0164
243,672,0.0174
239,676,0.0493
232,680,0.016
215,690,0.016
197,695,0.0163
185,697,0.0174
169,700,0.0168
164,700,0.0173
163,700,0.0164
161,699,0.0515
161,699,0.0
159,698,0.0143
154,695,0.0166
149,694,0.017
148,694,0.016
144,692,0.0354
141,692,0.0176
138,692,0.016
134,692,0.0171
133,692,0.0167
132,692,0.0174
132,691,0.0158
130,691,0.0339
128,690,0.0182
126,690,0.016
121,690,0.0162
120,690,0.0168
113,690,0.0319
105,693,0.0171
99,695,0.0176
99,695,0.0
98,695,0.0159
98,696,0.0166
