x_coordinate,y_coordinate,time_interval_seconds
80,276,0.0654
111,278,0.017
150,284,0.016
200,294,0.0167
274,315,0.0166
350,340,0.0158
474,397,0.0169
532,425,0.0164
612,455,0.0167
684,477,0.0157
793,510,0.0178
826,520,0.0166
845,525,0.0168
852,527,0.0171
858,528,0.018
858,528,0.0
864,528,0.0152
868,527,0.0158
872,524,0.0158
875,523,0.0165
879,521,0.016
881,520,0.0153
881,519,0.0173
879,517,0.0158
878,516,0.0163
876,513,0.016
876,512,0.0161
876,510,0.0165
875,508,0.0175
874,507,0.0165
873,506,0.0173
862,494,0.0183
862,494,0.0
852,484,0.0143
850,484,0.0166
850,486,0.0322
853,489,0.0166
855,491,0.0156
856,492,0.0196
