x_coordinate,y_coordinate,time_interval_seconds
726,677,0.0819
730,670,0.017
743,646,0.017
755,621,0.017
765,589,0.016
770,560,0.0165
776,525,0.0166
786,493,0.0166
829,391,0.017
837,370,0.017
845,343,0.017
847,335,0.0162
851,321,0.0165
858,306,0.0162
861,301,0.0169
864,296,0.0165
866,293,0.0166
869,288,0.0168
880,277,0.017
884,273,0.0165
888,268,0.016
891,264,0.016
893,263,0.0166
894,263,0.0328
897,264,0.016
899,266,0.0165
901,267,0.0166
905,270,0.0181
910,272,0.016
917,274,0.0168
918,275,0.016
919,277,0.0162
920,278,0.016
921,279,0.0165
920,279,0.0825
