x_coordinate,y_coordinate,time_interval_seconds
747,727,0.0324
751,721,0.0161
758,715,0.016
772,700,0.0171
787,680,0.0156
803,656,0.016
822,626,0.0173
850,573,0.0158
873,522,0.0169
894,463,0.0163
904,444,0.0159
913,430,0.0162
924,416,0.0163
936,404,0.0167
953,387,0.0162
953,387,0.0012
967,370,0.0162
981,350,0.0166
990,333,0.017
997,317,0.0167
998,314,0.0156
998,313,0.0326
998,311,0.0161
999,308,0.0175
1000,305,0.0161
1000,302,0.0164
1000,301,0.0169
1000,299,0.016
1000,296,0.0157
1000,290,0.0162
1000,279,0.017
1000,273,0.0158
1000,271,0.0165
1000,270,0.0164
999,270,0.0171
995,270,0.019
