x_coordinate,y_coordinate,time_interval_seconds
760,491,0.0165
760,490,0.0156
759,489,0.0162
758,484,0.016
756,480,0.016
754,477,0.0161
745,466,0.0162
732,450,0.0165
714,432,0.0173
694,408,0.0161
667,381,0.0168
624,346,0.0173
592,326,0.0153
566,311,0.0159
543,299,0.0175
530,291,0.016
511,284,0.0159
502,280,0.0167
497,277,0.0154
493,276,0.016
490,275,0.0165
488,273,0.0178
483,269,0.0172
479,264,0.0163
475,260,0.0181
472,253,0.0168
469,245,0.0176
468,242,0.0162
468,241,0.0175
468,240,0.0165
