x_coordinate,y_coordinate,time_interval_seconds
763,150,0.0324
774,155,0.0166
791,164,0.0163
815,178,0.0181
836,191,0.0148
865,212,0.0166
890,233,0.0162
946,279,0.0167
990,318,0.0182
1022,348,0.0155
1037,365,0.0156
1042,371,0.0176
1042,371,0.0
1043,372,0.0154
1046,374,0.0163
1050,378,0.016
1054,384,0.0158
1058,389,0.0161
1062,393,0.0158
1065,397,0.0158
1069,400,0.0172
1073,403,0.016
1076,405,0.0163
1081,408,0.0166
1088,412,0.0163
1096,416,0.0171
1105,419,0.0158
1117,424,0.0168
1136,429,0.0174
1147,431,0.0155
1154,433,0.0176
1154,435,0.0785
1152,436,0.0167
1151,436,0.033
1150,437,0.0657
1149,437,0.0152
1149,438,0.0165
1148,438,0.017
