x_coordinate,y_coordinate,time_interval_seconds
767,597,0.064
766,594,0.0161
763,587,0.0175
759,579,0.0165
751,557,0.0165
742,536,0.017
731,507,0.0165
721,482,0.017
712,463,0.0165
710,457,0.0165
707,450,0.0175
706,445,0.0162
704,438,0.016
702,427,0.0161
699,418,0.0175
698,415,0.016
698,414,0.016
697,413,0.016
696,411,0.033
695,409,0.0165
694,405,0.017
692,399,0.0175
689,392,0.0165
689,388,0.0165
688,385,0.016
687,382,0.0165
687,381,0.016
686,380,0.016
686,379,0.016
686,378,0.016
686,376,0.0165
685,375,0.016
684,373,0.0165
684,372,0.0165
683,371,0.0175
683,370,0.0171
683,369,0.0165
682,369,0.017
