x_coordinate,y_coordinate,time_interval_seconds
774,554,0.0491
773,554,0.0173
771,552,0.016
768,551,0.016
756,544,0.0165
743,538,0.017
724,529,0.0165
686,510,0.0161
628,480,0.0165
523,413,0.017
462,376,0.016
357,313,0.017
291,279,0.0169
240,249,0.0164
221,237,0.0161
211,231,0.016
206,226,0.0162
203,218,0.0164
201,210,0.016
200,203,0.016
198,190,0.0169
198,184,0.0161
195,177,0.017
191,165,0.017
184,143,0.0165
180,133,0.0167
175,122,0.0162
170,115,0.0166
167,112,0.0169
164,109,0.0171
164,109,0.0
163,109,0.0166
163,108,0.0165
