x_coordinate,y_coordinate,time_interval_seconds
79,547,0.0144
80,547,0.0173
84,546,0.0162
86,546,0.0167
95,546,0.0167
107,547,0.0165
122,549,0.0166
148,555,0.0186
219,566,0.0159
335,583,0.0167
466,597,0.0167
580,609,0.0166
666,622,0.017
777,648,0.0168
828,664,0.0165
859,675,0.0166
896,684,0.0172
949,691,0.0167
973,692,0.0171
1008,698,0.0173
1028,703,0.0169
1046,710,0.0172
1053,712,0.0161
1057,715,0.0157
1063,716,0.0176
1073,718,0.0154
1082,720,0.0161
1087,721,0.0172
1091,722,0.0158
1095,723,0.0169
1098,724,0.0165
1103,724,0.0159
1113,725,0.0172
1118,725,0.0159
1119,725,0.0166
1120,725,0.0321
1122,726,0.0163
1123,726,0.0163
1124,726,0.05
1125,726,0.0165
1126,727,0.0164
1128,728,0.0165
1130,729,0.0171
1133,730,0.0166
1134,730,0.0161
1135,730,0.0172
1136,730,0.0163
