x_coordinate,y_coordinate,time_interval_seconds
790,59,0.0669
777,71,0.0156
760,94,0.0162
737,124,0.0158
706,163,0.0169
633,257,0.0177
572,337,0.0163
511,416,0.0167
456,489,0.0181
456,489,0.0
443,511,0.0174
432,531,0.0161
429,543,0.0166
426,560,0.0169
420,580,0.0177
409,599,0.0155
402,607,0.0174
394,616,0.0167
387,626,0.0171
386,629,0.0163
383,637,0.0161
378,644,0.0156
373,651,0.016
367,660,0.0172
356,677,0.0162
353,683,0.0165
352,684,0.0163
352,687,0.0344
352,690,0.0168
352,693,0.0158
350,695,0.0161
350,696,0.016
349,696,0.0176
349,697,0.1153
