x_coordinate,y_coordinate,time_interval_seconds
797,364,0.017
797,368,0.0165
796,374,0.018
795,380,0.0168
792,407,0.0176
788,442,0.016
777,498,0.0164
762,567,0.016
755,602,0.0171
751,639,0.0168
751,660,0.0165
751,677,0.0165
751,690,0.017
751,705,0.017
751,713,0.0169
752,716,0.016
753,717,0.0166
754,716,0.0507
754,714,0.0175
756,712,0.0166
757,711,0.0166
758,709,0.0164
759,708,0.016
761,706,0.016
763,704,0.0165
764,704,0.016
765,702,0.0324
766,702,0.0168
767,701,0.016
768,701,0.0167
769,700,0.0167
