x_coordinate,y_coordinate,time_interval_seconds
818,692,0.0
818,690,0.0158
818,688,0.0147
818,687,0.0158
817,685,0.0162
811,677,0.017
800,663,0.0178
789,650,0.0169
766,623,0.0165
723,579,0.0166
642,492,0.0154
596,443,0.017
540,379,0.0164
511,341,0.0175
493,312,0.0161
470,259,0.0167
464,241,0.016
460,228,0.0176
458,219,0.0165
456,206,0.0161
456,199,0.0169
456,191,0.0171
456,186,0.0164
456,182,0.0166
456,177,0.0165
458,171,0.0173
462,166,0.0163
464,161,0.0169
466,154,0.0161
467,151,0.0167
468,147,0.0165
468,141,0.0165
468,136,0.015
468,135,0.0165
468,132,0.0703
