x_coordinate,y_coordinate,time_interval_seconds
823,479,0.0165
819,476,0.016
812,473,0.016
791,463,0.0159
760,452,0.0158
716,438,0.0163
656,419,0.0161
592,397,0.016
506,354,0.017
478,337,0.0165
456,322,0.0165
432,306,0.0167
416,294,0.016
396,278,0.0158
368,257,0.016
348,242,0.0159
331,228,0.0165
310,213,0.017
294,201,0.0162
269,186,0.0175
251,177,0.0162
236,171,0.016
216,164,0.016
199,158,0.016
179,154,0.0164
153,148,0.0169
140,143,0.0169
129,138,0.017
127,135,0.0165
125,133,0.016
123,131,0.016
119,128,0.016
116,126,0.0161
114,125,0.0165
113,122,0.016
110,116,0.0166
110,113,0.016
109,110,0.016
109,109,0.016
108,107,0.0165
108,106,0.0162
107,104,0.0166
107,102,0.0166
