x_coordinate,y_coordinate,time_interval_seconds
830,332,0.0171
828,332,0.0165
823,335,0.0175
810,340,0.016
781,352,0.0166
740,371,0.0175
666,400,0.016
573,429,0.016
426,459,0.0165
337,482,0.0163
287,499,0.0166
266,508,0.017
261,510,0.0172
259,513,0.0165
258,513,0.0165
255,515,0.0172
244,517,0.0165
228,522,0.0177
226,522,0.0165
225,522,0.016
225,521,0.0333
223,520,0.016
222,520,0.0165
221,520,0.0171
220,520,0.0671
219,520,0.0166
214,520,0.0176
212,520,0.0161
208,520,0.0161
207,520,0.0165
206,520,0.0164
205,520,0.0155
202,520,0.0171
201,520,0.017
200,520,0.0343
