x_coordinate,y_coordinate,time_interval_seconds
830,85,0.0478
829,85,0.0156
823,86,0.0158
813,88,0.0177
775,95,0.0171
742,98,0.0165
702,100,0.016
668,104,0.0173
648,106,0.016
630,109,0.0175
630,109,0.0
625,110,0.0164
618,111,0.0165
610,111,0.0165
593,113,0.0165
593,113,0.0
573,115,0.0165
554,117,0.0164
538,118,0.017
529,118,0.0162
522,118,0.0161
515,118,0.0162
512,118,0.0165
510,119,0.0165
509,120,0.0166
506,120,0.016
498,123,0.0161
495,125,0.0168
492,126,0.0166
491,126,0.0166
490,126,0.0331
490,127,0.0341
489,127,0.0164
488,127,0.0165
