x_coordinate,y_coordinate,time_interval_seconds
837,618,0.0316
836,616,0.016
830,613,0.0171
822,608,0.017
814,605,0.0167
799,600,0.0162
770,595,0.0167
749,591,0.0168
732,588,0.0169
710,584,0.0171
692,578,0.0165
650,570,0.016
633,568,0.0158
624,567,0.016
619,566,0.0164
615,565,0.0167
610,563,0.0167
603,561,0.0161
593,558,0.0181
585,557,0.0152
576,557,0.0166
572,557,0.0162
569,557,0.0163
568,557,0.0159
565,557,0.0165
560,557,0.0175
556,558,0.0173
556,558,0.0
556,559,0.0813
558,559,0.016
560,560,0.019
