x_coordinate,y_coordinate,time_interval_seconds
838,725,0.0
837,725,0.0821
831,722,0.0168
814,714,0.0163
788,697,0.0162
758,679,0.0162
723,660,0.0165
657,626,0.0166
605,598,0.0162
515,550,0.0167
397,474,0.0165
320,428,0.0164
299,413,0.016
296,410,0.0169
295,409,0.0159
292,409,0.017
286,405,0.0171
278,400,0.017
267,393,0.0161
260,390,0.0161
258,390,0.0161
258,391,0.016
258,393,0.0156
257,396,0.0163
255,397,0.0167
249,400,0.017
240,402,0.0175
229,404,0.0157
219,404,0.0171
211,404,0.0156
201,404,0.0176
201,404,0.0
200,404,0.0145
199,404,0.0164
197,404,0.0477
194,403,0.018
193,402,0.0166
192,402,0.0334
188,402,0.016
181,402,0.0169
176,402,0.0168
171,402,0.0175
167,402,0.0161
162,403,0.0167
161,403,0.0169
160,403,0.0174
