x_coordinate,y_coordinate,time_interval_seconds
847,460,0.0165
850,460,0.0157
854,465,0.0163
858,473,0.0159
864,486,0.0167
871,505,0.0163
889,530,0.0161
908,554,0.016
927,577,0.0164
933,586,0.0161
934,590,0.0163
934,595,0.0158
934,597,0.0161
932,601,0.0157
930,604,0.0169
926,613,0.0164
925,616,0.0168
924,618,0.0166
923,620,0.0163
922,622,0.0163
922,625,0.016
922,629,0.0171
920,635,0.0165
919,639,0.0176
919,641,0.0156
919,645,0.0326
922,647,0.0172
924,649,0.0169
927,651,0.0168
928,651,0.0171
928,652,0.0523
