x_coordinate,y_coordinate,time_interval_seconds
845,668,0.0488
834,667,0.0172
824,667,0.0163
807,668,0.0163
770,669,0.0167
721,669,0.016
612,677,0.0157
574,680,0.0171
532,684,0.0161
511,687,0.0169
503,688,0.017
495,689,0.0158
492,690,0.0161
487,691,0.0164
484,691,0.016
472,691,0.0161
447,689,0.018
447,689,0.0
439,688,0.0164
438,688,0.0162
437,688,0.0169
434,688,0.0173
430,689,0.0156
430,691,0.0163
429,694,0.0169
427,695,0.0159
426,696,0.0161
425,697,0.0329
422,700,0.0163
420,702,0.0163
417,705,0.0161
415,707,0.0171
414,709,0.0176
413,709,0.0333
412,709,0.0332
