x_coordinate,y_coordinate,time_interval_seconds
84,443,0.017
84,442,0.0159
84,439,0.0501
83,431,0.017
82,424,0.0165
82,410,0.0176
89,379,0.0166
96,353,0.017
107,313,0.0164
111,283,0.0162
116,249,0.0161
120,177,0.0173
120,152,0.0171
120,134,0.017
121,104,0.0168
121,87,0.0155
121,71,0.0165
120,62,0.0167
118,60,0.0169
117,59,0.0164
115,58,0.0184
114,58,0.0314
113,57,0.0328
112,56,0.0162
111,56,0.0168
109,56,0.0167
106,56,0.0164
102,55,0.0329
98,54,0.0158
96,53,0.0158
94,51,0.0227
