x_coordinate,y_coordinate,time_interval_seconds
848,424,0.0321
843,419,0.0172
843,419,0.0
832,412,0.016
810,403,0.016
770,390,0.016
715,376,0.016
633,350,0.0165
490,302,0.0168
409,267,0.017
363,243,0.0173
341,225,0.0166
316,206,0.0161
298,190,0.017
277,178,0.0169
259,170,0.0174
232,160,0.016
229,158,0.0165
228,158,0.0343
225,156,0.0165
216,153,0.0161
211,151,0.0165
204,149,0.0168
190,146,0.0161
164,141,0.0163
142,137,0.016
124,132,0.017
121,132,0.1849
114,128,0.0161
109,125,0.0168
105,123,0.0167
104,123,0.0334
103,120,0.0166
101,116,0.0164
96,110,0.0168
92,108,0.0172
