x_coordinate,y_coordinate,time_interval_seconds
857,133,0.0654
847,140,0.017
831,149,0.0165
802,168,0.016
759,194,0.0166
683,236,0.016
650,250,0.0169
619,262,0.016
596,274,0.016
589,279,0.0165
586,283,0.0167
583,287,0.017
582,288,0.0157
581,288,0.0331
579,290,0.0325
575,293,0.0165
570,297,0.0159
562,303,0.0161
554,307,0.0165
549,309,0.016
543,312,0.0172
540,313,0.0161
538,314,0.0162
533,317,0.0161
529,320,0.0165
528,322,0.0173
527,323,0.0666
527,323,0.0
526,324,0.016
525,326,0.0152
524,326,0.0163
523,327,0.0326
522,328,0.033
