x_coordinate,y_coordinate,time_interval_seconds
862,611,0.0
861,610,0.0336
858,605,0.0163
848,588,0.0176
834,572,0.017
825,558,0.0159
812,534,0.0166
765,441,0.0175
724,364,0.017
669,283,0.016
608,215,0.016
580,188,0.0159
554,167,0.0165
546,161,0.0161
542,157,0.0161
538,155,0.016
534,151,0.0161
528,147,0.0158
516,140,0.016
508,133,0.016
488,115,0.0175
477,105,0.0165
466,98,0.017
462,94,0.0169
453,87,0.0165
453,87,0.0
448,80,0.0156
442,72,0.0165
438,69,0.0162
436,67,0.0168
436,66,0.016
435,66,0.0334
