x_coordinate,y_coordinate,time_interval_seconds
872,568,0.0
872,567,0.0149
871,566,0.0168
869,564,0.016
861,563,0.0161
849,561,0.0158
808,551,0.0172
781,544,0.0167
751,535,0.0154
727,528,0.016
698,517,0.0171
647,498,0.0171
561,467,0.0159
470,442,0.0168
379,418,0.016
340,400,0.0184
340,400,0.0
337,396,0.0156
336,392,0.0167
336,391,0.0161
336,390,0.0161
334,388,0.0164
329,383,0.0168
323,378,0.0164
318,374,0.0172
317,373,0.0172
315,372,0.0498
314,371,0.017
311,368,0.0162
305,365,0.0168
302,363,0.016
298,360,0.0162
294,360,0.0159
289,358,0.016
286,358,0.016
284,358,0.0162
283,357,0.0166
282,357,0.0159
281,356,0.017
280,355,0.0158
276,353,0.0173
271,353,0.0168
268,353,0.0163
267,353,0.0169
261,351,0.0168
257,350,0.0161
254,349,0.0171
253,349,0.017
