x_coordinate,y_coordinate,time_interval_seconds
874,279,0.0161
875,277,0.0165
875,276,0.016
873,273,0.0159
873,273,0.0
867,270,0.017
842,265,0.016
815,258,0.0165
785,250,0.0165
739,240,0.016
685,229,0.0168
671,225,0.017
659,222,0.0165
645,219,0.016
640,218,0.016
628,213,0.016
625,212,0.0165
609,210,0.016
578,210,0.016
543,210,0.0168
501,211,0.0165
473,213,0.0165
470,213,0.0169
464,212,0.0165
462,212,0.0155
459,212,0.0165
456,212,0.016
455,212,0.0155
453,212,0.0159
450,212,0.0164
438,212,0.016
420,214,0.0166
414,215,0.016
407,215,0.0165
402,215,0.0161
400,215,0.0165
399,215,0.0165
397,215,0.016
394,215,0.016
393,215,0.0167
392,214,0.0166
388,211,0.0168
386,209,0.0165
383,208,0.0185
383,208,0.0
381,208,0.015
378,208,0.0175
375,209,0.0169
366,210,0.0169
361,210,0.0159
358,210,0.0168
356,210,0.016
355,210,0.0165
354,210,0.0159
352,209,0.0165
351,209,0.0161
